ID	post_title	post_name	post_date	post_status
4 ✅ 8288	CFP: International Law and the Challenge of Populism (2023 Workshop Series)	cfp-international-law-populism-2023-workshop	2023-02-15 14:43:08	publish
3 ✅ 8295	Call for Abstracts: Routledge Handbook of Cooperative Economics & Management	routledge-handbook-cooperative-economics	2023-02-14 16:19:30	publish
4 ✅ 8296	CFP: 2023 Lauren Berlant Graduate Student Conference	cfp-lauren-berlant-2023	2023-02-14 15:51:13	publish
4 ✅ 8271	CFP: Workshop on LPE in Latin America	cfp-workshop-on-lpe-in-latin-america	2023-02-07 15:06:59	publish
4 ✅ 8251	Berkeley LPE: Disorienting IP with Talha Syed	berkeley-lpe-disorienting-ip-with-talha-syed	2023-01-28 15:58:27	publish
3 ✅ 8241	Money as a Democratic Medium 2.0	money-as-a-democratic-medium-2-0	2023-01-25 18:08:06	publish
4 ✅ 8234	Harvard LPE Association: Introduction to MMT	harvard-lpe-association-introduction-to-mmt	2023-01-25 16:56:04	publish
3 ✅ 8207	Law & Organizing Academy (2023)	law-organizing-academy-2023	2023-01-24 10:15:50	publish
4 ✅ 8183	Book Launch for "Class Warrior: The Selected Works of E.T. Kingsley"	book-launch-for-class-warrior-the-selected-works-of-e-t-kingsley	2023-01-18 21:57:19	publish
4 ✅ 8144	"Capitalizing a Cure" with Victor Roy	capitalizing-a-cure	2023-01-10 17:10:52	publish
4 ✅ 8117	LPE Mentoring “Office Hours”	lpe-office-hours-01-20-23	2022-12-27 13:21:10	publish
5 ✅ 8104	CFP: Emerging Scholars in Law and Political Economy	cfp-emerging-scholars-lpe-2023	2022-12-19 12:56:10	publish
5 ✅ 8012	CFP: Law & Humanities Interdisciplinary Workshop for Junior Scholars	cfp-law-humanities-2023	2022-11-27 15:56:58	publish
5 ✅ 7950	Job Announcement: The Law & Political Economy Project is Hiring!	job-announcement-academic-fellow	2022-11-18 12:36:41	publish
5 ✅ 7884	CFP: University of Michigan Law Junior Scholars Conference	cfp-michigan-juniors-2023	2022-11-13 15:17:35	publish
5 ✅ 7878	Reviving Progressive Constitutional Political Economy Conference at Georgetown Law Center	reviving-progressive-constitution	2022-11-11 20:17:06	publish
5 ✅ 7841	YALE LPE: "The Price of Consent: Law and Political Economy in the War on Terror" with Zohra Ahmed	zohra-ahmed	2022-11-03 13:09:24	publish
5 ✅ 7816	LPE Society at Berkeley: "From Critique to Construction: Legal Realism and CLS from an LPE Perspective" with Talha Syed	from-critique-to-construction	2022-10-27 18:13:42	publish
5 ✅ 7802	Conference on African Economic and Monetary Sovereignty	african-monetary-sovereignty	2022-10-24 11:46:46	publish
5 ✅ 7690	YALE LPE: The Law & Political Economy of Central Banking with Saule Omarova	saule-omarova	2022-10-19 15:13:49	publish
---- 7773	Conference:		2022-10-15 14:47:21	draft
5 ✅ 7719	LPE Mentoring “Office Hours”	lpe-office-hours-10-28-22	2022-10-14 11:56:27	publish
5 ✅ 7766	Harvard LPE Event: "Thinking like an (LPE) Lawyer: Property Law" with Yochai Benkler	hls-lpe-yochai-benkler	2022-10-13 18:37:14	publish
5 ✅ 7625	LPE Loyola Presents: Economic Justice Speaker Series	lpe-loyola-presents-economic-justice-speaker-series	2022-10-05 14:12:39	publish
5 ✅ 7511	Antimonopoly in a New Political Economy	paul-wu-event	2022-09-29 17:08:11	publish
5 ✅ 7457	The Future of Worker Power: Labor Organizing and Labor Law at a Crossroads	future-of-worker-power	2022-09-29 09:23:24	publish
6 ✅ 7467	YALE LPE: "Identity Crisis: Race (and Class) in the Twilight of the Civil Rights Consensus" with Guy-Uriel Charles	guy-charles	2022-09-27 15:28:26	publish
5 ✅ 7443	Fall 2022 Gruber Distinguished Lecture in Women’s Rights: Sara Nelson	gruber-distinguished-lecture-in-womens-rights-sara-nelson	2022-09-22 16:27:18	publish
6 ✅ 7346	YALE LPE: Rewriting the Economy: Race, Gender, and Economy in LPE	yale-lpe-rewriting-the-economy-race-gender-and-economy-in-lpe	2022-09-17 18:11:46	publish
6 ✅ 7391	CFP: Law & Macroeconomics	cfp-law-macroeconomics	2022-09-10 10:03:50	publish
6 ✅ 7312	LPE 101: A Law & Political Economy Approach to Torts with Talha Syed	lpe-101-law-political-economy-of-torts-with-talha-syed	2022-08-24 14:20:00	publish
6 ✅ 7300	YALE LPE: "How We Got Founding History So Wrong: From the Taney Court to the Trump Court" with Bill Novak	yale-lpe-bill-novak	2022-08-22 09:11:01	publish
6 ✅ 7298	CASBS Event: Creating a New Political Economy Framework	casbs-event-creating-a-new-political-economy-framework	2022-08-19 08:07:43	publish
6 ✅ 7180	Resourcing a New Paradigm: The Future of Antimonopoly Research	resourcing-a-new-paradigm-the-future-of-antimonopoly-research	2022-07-01 09:12:58	publish
6 ✅ 7153	DSA Fund - How We Win: Local Worker Rights Campaigns	how-we-win-local-worker-rights-campaigns	2022-06-28 08:07:00	publish
6 ✅ 7103	Inaugural Summer Academy on Law, Organizing, and Power Building	inaugural-summer-academy-on-law-organizing-and-power-building	2022-06-15 13:18:58	publish
6 ✅ 7100	AMRI Academy Online - Summer 2022	amri-academy-online-summer-2022	2022-06-15 12:51:58	publish
7077	CFP - Michigan Journal of Law & Society - Law & Social Movements	cfp-michigan-journal-of-law-society	2022-06-08 13:17:12	publish
6 ✅ 7029	CFP - ClassCrits XIII	cfp-classcrits-xiii	2022-05-27 13:06:21	publish
6 ✅ 6939	Announcement: EAEPE-YSI-APPEAL Summer School in Rome	announcement-eaepe-inet-appeal-summer-school-in-rome	2022-05-13 12:32:37	publish
6 ✅ 6879	Sustainable and Global Economic Law Summer School	sgel-summer-school	2022-04-28 11:30:53	publish
6 ✅ 6857	Shelter for All: A Conversation on Homelessness and Housing Policy	shelter-for-all-a-conversation-on-homelessness-and-housing-policy	2022-04-19 10:55:58	publish
6 ✅ 6827	LPE Mentoring “Office Hours”	lpe-mentoring-office-hours-4	2022-04-17 16:13:51	publish
6792	Labor of Love: Celebrating Karl Klare's Vision and Advocacy	labor-of-love	2022-04-03 16:56:41	publish
6787	NYU LPE 101 SPEAKER SERIES: Torts with Talha Syed	torts-with-talha-syed	2022-04-03 00:37:30	publish
6690	The LPE Society at Berkeley Presents: Inflation & Economic Justice	the-lpe-society-at-berkeley-presents-inflation-economic-justice	2022-03-25 14:47:12	publish
6741	Abolition Across Criminal Justice, Immigration, and National Security	abolition-across-criminal-justice-immigration-and-national-security	2022-03-24 13:17:17	publish
6738			2022-03-24 12:55:41	draft
6685	NYU LPE 101 Speaker Series: Civil Procedure with Luke Norris	civpro-with-luke-norris	2022-03-23 21:10:50	publish
6594	LPE Mentoring "Office Hours"	lpe-mentoring-office-hours-3	2022-02-23 10:03:24	publish
6545	The LPE Society at Berkeley Presents: Commodified Justice & American Penal Form	the-berkeley-lpe-society-presents-commodified-justice-american-penal-form	2022-02-11 14:04:06	publish
6429	CFP - Harvard Law Digital Symposium On COVID-19, Work, and Health	cfp-harvard-law-digital-symposium-on-covid-19-work-and-health	2022-01-13 11:46:22	publish
6398	Keywords: CLS & LPE on 'Political Economy' and 'Indeterminacy'	cls-lpe-keywords	2022-01-12 15:15:46	publish
6416	LPE Mentoring "Office Hours"	lpe-mentoring-office-hours-2	2022-01-11 10:19:11	publish
6403	Health, Movements, and Power-Building	health-and-movements	2022-01-10 02:08:49	publish
6411	Healthcare as Freedom, Healthcare as Control	healthcare-as-freedom-control	2022-01-09 16:33:03	publish
6409	Neoliberalism & Healthcare	neoliberalism-healthcare	2022-01-09 16:27:50	publish
6341	WINIR Event: Law & Political Economy with Amy Kapczynski & Nicholas Mercuro (moderated by Katharina Pistor)	winir-event	2021-12-15 13:20:03	publish
6324	University of Amsterdam Event - "Towards a Sustainable Global Economic Law: Shifts, Ruptures and Social Justice	university-of-amsterdam-event-towards-a-sustainable-global-economic-law-shifts-ruptures-and-social-justice	2021-12-10 11:25:42	publish
6306	DOJ & FTC Event - Fireside Chat: Worker Bargaining and the Antitrust Laws – 19th Century through the Present	doj-ftc-event-fireside-chat-worker-bargaining-and-the-antitrust-laws-19th-century-through-the-present	2021-12-03 15:39:29	publish
6289	APPEAL's Capitalism Reading Group with Etienne Toussaint	appeals-capitalism-reading-etienne-toussaint	2021-11-23 19:41:15	publish
6283	APPEAL Event on Government Religious Hospitals	government-religious-hospitals	2021-11-22 19:13:57	publish
6275	ANU Law Conference: Law & Inequality	anu-law-conference	2021-11-21 13:34:46	publish
6266	Care Extractivism	care-extractivism	2021-11-17 15:09:35	publish
6249	Yale Law LPE Student presents Supreme Court Reform After the Commission	after-the-commission	2021-11-12 17:23:45	publish
6227	name of event		2021-11-04 11:00:31	draft
6204	LPE Mentoring "Office Hours"	lpe-mentoring-office-hours-11-12-21	2021-11-01 13:51:42	publish
6180	New 2-year Harvard Law LPE Postdoc	harvard-lpe-postdoc	2021-10-26 12:06:57	publish
6066	Property Rights Against Democracy: Implications of Cedar Point Nursery	cedar-point	2021-10-07 09:12:36	publish
6058	How to Vaccinate the World	how-to-vaccinate-the-world	2021-10-06 12:35:00	publish
6093	Historicizing the Assault on CRT: The Right vs. Public Education	historicizing-the-assault-on-crt-the-right-vs-public-education	2021-10-06 09:36:20	publish
